Temperature_C,Humidity_%,CO2_ppm,Smoke_Level,Fire_Sensor,Motion_Detected,Sound_Level_dB,Light_Intensity_lux,Smart_LED_On,Smart_Door_Status,AC_Status,Fan_Status,Window_Status,Sprinkler_Status,Power_Consumption_W,Room_Type,Day_Night,Occupancy,Alert_Triggered,Fire_Risk
27.922064902362425,40.60758459317993,503.0636513780108,0.1819346617954279,0,1,36.664383973708205,308.78301305927386,0,Open,1,0,Closed,1,295.24846347091903,Study,Day,1,0,1
30.243535632082818,41.59507014493309,763.9438666345002,0.1341824725862896,0,0,27.506586998799584,345.17039533959417,0,Closed,1,1,Open,0,543.4656130918647,Store,Night,1,0,0
24.901811005366596,60.2944055592704,830.6095096026435,0.3345875003177717,0,0,38.80177387605446,84.56162936592762,1,Open,0,1,Closed,0,316.1873731641221,Bedroom,Night,1,0,1
21.239217972047083,69.422455947563,851.4682442871995,0.1468940829621324,0,1,51.781853788989096,299.83226828664,0,Closed,1,0,Open,0,465.980238417117,Bedroom,Day,1,0,0
27.19750615310113,62.33406076352669,637.8005641802893,0.088060912025409,0,0,46.94046983662575,409.1138633196484,1,Open,0,0,Closed,0,444.07782617702026,Bedroom,Day,1,0,0
23.86757950575084,57.53419463502431,743.0640383717031,0.3277876521041972,0,1,43.468697346842525,237.3059364448929,1,Closed,0,1,Closed,0,425.8118018700862,Study,Night,1,0,1
26.87849009172836,47.40199859232487,608.9857885194658,0.4448586988174057,1,0,33.30865039328035,154.6366101281705,0,Closed,1,1,Open,0,543.2019344255089,Kitchen,Night,0,0,1
26.21669724661346,54.34502646091306,683.974267324209,0.2231528480217519,0,1,39.378721449493554,299.44636408337306,1,Closed,0,1,Closed,1,700.4858736898685,Study,Day,1,0,1
25.393175951580453,58.89153824787806,410.5702869407733,0.3558384011880782,0,0,50.06167130884461,180.5268266242309,0,Open,0,0,Open,0,310.08023835650727,Kitchen,Day,1,0,1
22.47612539385891,57.16589339759652,542.612423591635,0.3546398687189829,1,1,32.37647445839981,297.7588757096237,1,Open,0,1,Closed,0,579.3152530302194,Study,Day,0,0,1
25.33764102343962,31.48157268425341,328.2015993656919,0.2546589725688639,0,0,36.961092921318354,383.2309886254114,1,Open,0,1,Open,0,236.6315923990973,Kitchen,Night,0,0,0
23.92166181226184,32.82327851636604,880.5208039231958,0.1810018576502922,0,0,30.75086461391404,297.3043632642596,0,Closed,0,1,Open,0,357.0427678936247,Kitchen,Night,0,0,0
29.776526042852552,24.682306837491865,709.0756889300924,0.1839513779671437,0,1,34.3573487157039,260.926022564156,1,Open,0,1,Closed,1,698.5475096562302,Store,Day,0,0,1
